properties_group,name,type,description,pattern,default,maximum,minimum
animal_population_properties,heiferIIs_properties_conception_rate,number,ED Conception Rate - The % of serviced animals that would be concepted in the ED (Estrus Detection) programs (default is 0.6).,,0.6,,0
animal_population_properties,heiferIIs_properties_ai_day,number,AI Day,,,,0
animal_population_properties,heiferIIs_properties_abortion_day,number,Abortion Day,,0,,0
animal_population_properties,heiferIIs_properties_days_in_pregnancy,number,Days in Pregnancy,,,,0
animal_population_properties,heiferIIs_properties_gestation_length,number,Gestation Length,,,,0
animal_population_properties,heiferIIs_properties_phosphorus_for_gestation_required_for_calf,number,Pregnancy Gestation for Calf,,,,0
animal_population_properties,heiferIIs_properties_calf_birth_weight,number,Calf Birth weight.,,,,0
animal_population_properties,heiferIIs_properties_net_merit,number,The net merit value.,,0.0,,
animal_population_properties,heiferIIIs_properties_id,number,Unique integer identifier.,,,,1
animal_population_properties,heiferIIIs_properties_animal_type,string,Animal type.,^(Calf|HeiferI|HeiferII|HeiferIII|DryCow|LacCow)$,,,
animal_population_properties,heiferIIIs_properties_breed,string,Breed.,^(HO|JE)$,,,
animal_population_properties,heiferIIIs_properties_days_born,number,Days born.,,,,0
animal_population_properties,heiferIIIs_properties_birth_weight,number,Birth weight.,,,,0
animal_population_properties,heiferIIIs_properties_body_weight,number,Body weight.,,,,0
animal_population_properties,heiferIIIs_properties_wean_weight,number,Wean weight.,,,,0
animal_population_properties,heiferIIIs_properties_mature_body_weight,number,Mature Body weight.,,,,0
animal_population_properties,heiferIIIs_properties_events,string,No description available,,,,
animal_population_properties,heiferIIIs_properties_heifer_reproduction_program,string,Heifer Reproduction Program,^(TAI|ED|SynchED)$,,,
animal_population_properties,heiferIIIs_properties_heifer_reproduction_sub_protocol,string,No description available,^(5dCG2P|5dCGP|2P|CP|N/A)$,,,
animal_population_properties,heiferIIIs_properties_estrus_count,number,Estrus count.,,,,0
animal_population_properties,heiferIIIs_properties_estrus_day,number,Estrus Day.,,,,0
